sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_ii_marine	squeezemeta	class	49.9999	100.0000	0.00	0.00	0.00	0	0	4
cami_ii_marine	squeezemeta	order	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_ii_marine	squeezemeta	family	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_ii_marine	squeezemeta	genus	49.9999	100.0000	0.00	0.00	0.00	0	0	10
cami_ii_marine	squeezemeta	species	49.9999	100.0000	0.00	0.00	0.00	0	0	11
cami_ii_mousegut	ganon2	superkingdom	42.3133	73.2909	100.00	100.00	100.00	2	0	0
cami_ii_mousegut	ganon2	phylum	42.3133	73.2909	100.00	100.00	100.00	3	0	0
cami_ii_mousegut	ganon2	class	43.2896	74.9820	100.00	50.00	66.67	3	0	3
cami_ii_mousegut	ganon2	order	44.0473	76.2944	66.67	33.33	44.44	2	1	4
cami_ii_mousegut	ganon2	family	44.0472	76.2944	66.67	22.22	33.33	2	1	7
cami_ii_mousegut	ganon2	genus	44.0472	76.2944	66.67	15.38	25.00	2	1	11
cami_ii_mousegut	ganon2	species	52.1116	90.2626	33.33	7.14	11.76	1	2	13
cami_ii_mousegut	hymet	superkingdom	57.0932	38.0622	66.67	100.00	80.00	2	1	0
cami_ii_mousegut	hymet	phylum	10.9553	10.9553	100.00	100.00	100.00	3	0	0
cami_ii_mousegut	hymet	class	15.9979	15.9979	100.00	100.00	100.00	6	0	0
cami_ii_mousegut	hymet	order	15.9979	15.9979	100.00	100.00	100.00	6	0	0
cami_ii_mousegut	hymet	family	24.6690	24.6691	100.00	88.89	94.12	8	0	1
cami_ii_mousegut	hymet	genus	37.5177	37.5178	90.91	76.92	83.33	10	1	3
cami_ii_mousegut	hymet	species	44.3014	44.3014	72.73	57.14	64.00	8	3	6
cami_ii_mousegut	hymet_reads	superkingdom	87.2359	58.2198	40.00	100.00	57.14	2	3	0
cami_ii_mousegut	hymet_reads	phylum	37.4303	37.4303	50.00	66.67	57.14	2	2	1
cami_ii_mousegut	hymet_reads	class	64.7391	64.7391	60.00	50.00	54.55	3	2	3
cami_ii_mousegut	hymet_reads	order	65.3389	65.3389	60.00	50.00	54.55	3	2	3
cami_ii_mousegut	hymet_reads	family	66.1276	66.1276	45.45	55.56	50.00	5	6	4
cami_ii_mousegut	hymet_reads	genus	81.8012	81.8012	28.00	53.85	36.84	7	18	6
cami_ii_mousegut	hymet_reads	species	96.9784	96.9784	18.18	42.86	25.53	6	27	8
cami_ii_mousegut	kraken2	superkingdom	47.4523	78.3333	50.00	100.00	66.67	2	2	0
cami_ii_mousegut	kraken2	phylum	43.4374	76.7954	100.00	100.00	100.00	3	0	0
cami_ii_mousegut	kraken2	class	43.4368	76.7934	100.00	100.00	100.00	6	0	0
cami_ii_mousegut	kraken2	order	43.4512	76.8189	100.00	100.00	100.00	6	0	0
cami_ii_mousegut	kraken2	family	44.0157	77.8170	88.89	88.89	88.89	8	1	1
cami_ii_mousegut	kraken2	genus	45.3542	80.1248	83.33	76.92	80.00	10	2	3
cami_ii_mousegut	kraken2	species	48.1573	85.1360	66.67	57.14	61.54	8	4	6
cami_ii_mousegut	squeezemeta	superkingdom	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_ii_mousegut	squeezemeta	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_mousegut	squeezemeta	class	50.0000	100.0000	0.00	0.00	0.00	0	0	6
cami_ii_mousegut	squeezemeta	order	50.0000	100.0000	0.00	0.00	0.00	0	0	6
cami_ii_mousegut	squeezemeta	family	49.9999	100.0000	0.00	0.00	0.00	0	0	9
cami_ii_mousegut	squeezemeta	genus	49.9999	100.0000	0.00	0.00	0.00	0	0	13
cami_ii_mousegut	squeezemeta	species	49.9999	100.0000	0.00	0.00	0.00	0	0	14
cami_ii_strainmadness	ganon2	superkingdom	49.2471	96.9389	100.00	100.00	100.00	2	0	0
cami_ii_strainmadness	ganon2	phylum	49.3854	97.2110	66.67	100.00	80.00	2	1	0
cami_ii_strainmadness	ganon2	class	49.3854	97.2110	66.67	66.67	66.67	2	1	1
cami_ii_strainmadness	ganon2	order	50.3431	99.0963	33.33	33.33	33.33	1	2	2
cami_ii_strainmadness	ganon2	family	50.3431	99.0963	33.33	25.00	28.57	1	2	3
cami_ii_strainmadness	ganon2	genus	50.3431	99.0963	33.33	10.00	15.38	1	2	9
cami_ii_strainmadness	ganon2	species	50.8023	100.0000	0.00	0.00	0.00	0	3	11
cami_ii_strainmadness	hymet	superkingdom	53.9789	35.9860	66.67	100.00	80.00	2	1	0
cami_ii_strainmadness	hymet	phylum	3.9789	3.9789	100.00	100.00	100.00	2	0	0
