sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_ii_mousegut	metaphlan4	family	49.9999	100.0000	0.00	0.00	0.00	0	0	9
cami_ii_mousegut	metaphlan4	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	13
cami_ii_mousegut	metaphlan4	species	50.0000	100.0000	0.00	0.00	0.00	0	0	14
cami_ii_mousegut	sourmash_gather	superkingdom	40.3852	40.3852	100.00	50.00	66.67	1	0	1
cami_ii_mousegut	sourmash_gather	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_mousegut	sourmash_gather	class	50.0000	100.0000	0.00	0.00	0.00	0	0	6
cami_ii_mousegut	sourmash_gather	order	50.0000	100.0000	0.00	0.00	0.00	0	0	6
cami_ii_mousegut	sourmash_gather	family	49.9999	100.0000	0.00	0.00	0.00	0	0	9
cami_ii_mousegut	sourmash_gather	genus	49.9999	100.0000	0.00	0.00	0.00	0	0	13
cami_ii_mousegut	sourmash_gather	species	99.9999	100.0000	0.00	0.00	0.00	0	1	14
cami_ii_strainmadness	centrifuge	superkingdom	100.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_ii_strainmadness	centrifuge	phylum	99.1346	99.1346	66.67	100.00	80.00	2	1	0
cami_ii_strainmadness	centrifuge	class	99.1346	99.1346	66.67	66.67	66.67	2	1	1
cami_ii_strainmadness	centrifuge	order	99.5297	99.5297	33.33	33.33	33.33	1	2	2
cami_ii_strainmadness	centrifuge	family	99.5297	99.5297	33.33	25.00	28.57	1	2	3
cami_ii_strainmadness	centrifuge	genus	99.5297	99.5297	33.33	10.00	15.38	1	2	9
cami_ii_strainmadness	centrifuge	species	100.0000	100.0000	0.00	0.00	0.00	0	3	11
cami_ii_strainmadness	ganon2	superkingdom	49.2471	96.9389	100.00	100.00	100.00	2	0	0
cami_ii_strainmadness	ganon2	phylum	49.3854	97.2110	66.67	100.00	80.00	2	1	0
cami_ii_strainmadness	ganon2	class	49.3854	97.2110	66.67	66.67	66.67	2	1	1
cami_ii_strainmadness	ganon2	order	50.3431	99.0963	33.33	33.33	33.33	1	2	2
cami_ii_strainmadness	ganon2	family	50.3431	99.0963	33.33	25.00	28.57	1	2	3
cami_ii_strainmadness	ganon2	genus	50.3431	99.0963	33.33	10.00	15.38	1	2	9
cami_ii_strainmadness	ganon2	species	50.8023	100.0000	0.00	0.00	0.00	0	3	11
cami_ii_strainmadness	hymet	superkingdom	51.6039	34.4026	13.33	100.00	23.53	2	13	0
cami_ii_strainmadness	hymet	phylum	100.0000	100.0000	0.00	0.00	0.00	0	13	2
cami_ii_strainmadness	hymet	class	100.0000	100.0000	0.00	0.00	0.00	0	13	3
cami_ii_strainmadness	hymet	order	100.0000	100.0000	0.00	0.00	0.00	0	13	3
cami_ii_strainmadness	hymet	family	100.0000	100.0000	0.00	0.00	0.00	0	13	4
cami_ii_strainmadness	hymet	genus	100.0000	100.0000	0.00	0.00	0.00	0	13	10
cami_ii_strainmadness	hymet	species	68.6007	68.6007	23.08	27.27	25.00	3	10	8
cami_ii_strainmadness	kraken2	superkingdom	46.1054	78.5581	50.00	100.00	66.67	2	2	0
cami_ii_strainmadness	kraken2	phylum	43.7140	77.6473	100.00	100.00	100.00	2	0	0
cami_ii_strainmadness	kraken2	class	43.7140	77.6568	100.00	100.00	100.00	3	0	0
cami_ii_strainmadness	kraken2	order	43.7226	77.6745	100.00	100.00	100.00	3	0	0
cami_ii_strainmadness	kraken2	family	43.7614	77.7590	100.00	100.00	100.00	4	0	0
cami_ii_strainmadness	kraken2	genus	43.9661	78.1718	100.00	60.00	75.00	6	0	4
cami_ii_strainmadness	kraken2	species	48.1292	80.3283	50.00	54.55	52.17	6	6	5
cami_ii_strainmadness	metaphlan4	superkingdom	150.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_ii_strainmadness	metaphlan4	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_ii_strainmadness	metaphlan4	class	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_strainmadness	metaphlan4	order	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_strainmadness	metaphlan4	family	50.0000	100.0000	0.00	0.00	0.00	0	0	4
cami_ii_strainmadness	metaphlan4	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	10
